frame_ID,person_ID,head_center_x,head_center_y,head_width,head_height,body_center_x,body_center_y,body_width,body_height,left_shoulder_x,left_shoulder_y,left_shoulder_vec_x,left_shoulder_vec_y,left_upper_arm_length,left_elbow_vec_x,left_elbow_vec_y,left_lower_arm_length,right_shoulder_x,right_shoulder_y,right_shoulder_vec_x,right_shoulder_vec_y,right_upper_arm_length,right_elbow_vec_x,right_elbow_vec_y,right_lower_arm_length,left_hip_x,left_hip_y,left_hip_vec_x,left_hip_vec_y,left_upper_leg_length,left_knee_vec_x,left_knee_vec_y,left_lower_leg_length,right_hip_x,right_hip_y,right_hip_vec_x,right_hip_vec_y,right_upper_leg_length,right_knee_vec_x,right_knee_vec_y,right_lower_leg_length
0,person_00,347.74,81.2133,45.04599999999999,12.683599999999998,341.90250000000003,184.895,95.85700000000003,128.13,389.831,122.806,0.3048231443386953,0.95240897238291,48.20828166404607,-0.5041246484520225,0.8636309042774724,27.209540422432706,293.974,120.83,-0.25017741552827016,0.9682000107207164,62.6275555965583,0.9223750240598713,0.38629563159651664,32.9074391741442,368.312,248.96,0.03367146648971725,0.999432955402428,87.10639320968352,-0.7413139010030253,-0.6711584762034052,502.1422092535142,310.593,246.025,-0.033202953485237434,0.9994486299354546,88.09457271024137,-0.6775350997390346,-0.7354904408771173,455.5749216813849
0,person_01,99.79275,124.7285,32.2705,7.812999999999988,97.82575,191.749,67.4905,79.19400000000002,131.571,152.152,0.6843797820362465,0.7291257188853095,42.90892392032223,-0.9762411514011555,0.21668690387502904,36.08432194180738,64.0805,159.899,-0.621287777218465,0.7835824767559181,42.52264565428637,-0.8401220883217556,0.5423973420970022,19.78807631782332,121.789,228.429,-0.4718648723415159,-0.8816708809131245,260.2206843469596,0.0,0.0,0.0,81.6885,231.346,-0.33528535217816646,-0.9421166236802974,246.62127188920667,0.0,0.0,0.0
1,person_00,99.79015000000001,124.7085,32.271699999999996,7.8089999999999975,97.35085,191.7375,66.5343,79.19300000000001,130.618,152.141,0.6957489219383939,0.7182850671018872,43.53007104290091,-0.9761093680529744,0.21727977724404748,36.06870413530267,64.0837,158.965,-0.6108788071188602,0.7917241205199185,43.26128143918069,-0.9130020371775376,0.4079549976525183,19.237416002155793,120.84,229.383,-0.4675056417734758,-0.8839900875631869,260.6171757367499,0.0,0.0,0.0,81.653,231.334,-0.3351729454726634,-0.9421566200070872,246.59806561487866,0.0,0.0,0.0
1,person_01,181.2175,43.7497,364.435,89.4994,341.408,184.889,94.88799999999998,128.138,388.852,123.744,0.31686750407168,0.948469812310009,46.42003301377542,-0.43470678656192774,0.9005720458225441,27.11942938190256,293.964,120.82,-0.25044397994347933,0.9681310928330265,62.62478340880712,0.9115752895610997,0.41113317971382146,33.32253555778734,368.3,248.958,0.034315140775736525,0.999411062132865,86.1427327172757,-0.7422823672561103,-0.6700872236214215,501.5018764032693,310.597,246.035,-0.033392709122113076,0.9994423079785475,88.07311767503184,-0.6775339769235174,-0.7354914752151807,455.5579653754284
2,person_00,100.75055,124.718,32.2829,7.806000000000012,96.87315000000001,191.743,67.5197,79.214,130.633,152.136,0.6955518915688684,0.7184758632932416,43.5352133565462,-0.9772959233957366,0.21187892324172883,37.01642371974904,63.1133,158.965,-0.5834584041516865,0.8121430235031064,46.95724631790071,-0.9363065638567664,0.35118373891559224,16.720591956028358,120.831,229.399,-0.467453285418465,-0.8840177746807374,260.62711248448426,0.0,0.0,0.0,77.7893,231.35,-0.32113648045221826,-0.9470329249412409,245.34521860939128,0.0,0.0,0.0
2,person_01,182.176,43.7781,366.352,89.5562,341.91949999999997,184.398,95.83700000000005,127.16399999999999,389.838,123.765,0.29708544938111364,0.9548508971384074,46.104580444897245,-0.4178353181781125,0.9085227828089923,25.833144136941613,294.001,120.816,-0.25872292004425484,0.9659515777945467,60.748386719319555,0.871668438174025,0.4900960455780641,35.927651648834505,369.261,247.98,0.034127639736257986,0.999417482439662,86.1471822464322,-0.7440906016110491,-0.668078720357195,501.5531699929729,311.572,246.04,-0.03380031953967131,0.9994286059539301,87.09976828901439,-0.6797453092135192,-0.7334482358027846,455.50590170051584
3,person_00,101.73815,124.707,32.3057,7.809999999999988,97.82835,191.747,67.53129999999999,79.23400000000001,131.594,152.13,0.68397991402215,0.7295008411333411,42.88137619060286,-0.97492752137982,0.22252264616483639,35.13799667027134,64.0627,158.951,-0.6030882450079486,0.7976744754179066,45.401979273595565,-0.9243851447689961,0.3814604882951867,17.973027902943898,120.835,229.41,-0.467447838569175,-0.8840206548588141,260.6387064980948,0.0,0.0,0.0,78.7528,231.364,-0.324634426694808,-0.9458395683225213,245.669569959,0.0,0.0,0.0
3,person_01,182.675,44.24375,367.35,90.4875,342.872,184.3945,95.87400000000002,127.18499999999999,390.809,123.776,0.277324233358508,0.960776388964735,45.79837775511267,-0.3856844293122703,0.9226307609147164,25.432709371987865,294.935,120.802,-0.27723657224661025,0.9608016876592954,60.09668877733614,0.8487812828479627,0.5287441100257919,36.908212554931445,369.283,247.987,0.022160356458297854,0.9997544291482989,89.03286387621147,-0.7403522782260646,-0.6722190893789581,502.809285455231,310.602,246.034,-0.03297612431876214,0.999456139720455,89.06443861048024,-0.6764616511545032,-0.7364778574521594,456.2934195504029
4,person_00,102.21365,124.6905,33.244699999999995,7.818999999999988,97.8356,191.749,67.5308,79.24000000000001,131.601,152.129,0.6838076722317078,0.7296622968175439,42.874628628129265,-0.9761700892645865,0.21700681285427212,36.054167595438955,64.0702,158.954,-0.6032821753824545,0.797527815731723,45.38274312952005,-0.9238115426266604,0.3828475332423466,17.981048334566044,120.84,230.354,-0.46597024330562936,-0.8848003912486095,261.47592416128873,0.0,0.0,0.0,78.7508,231.369,-0.32462089454119014,-0.9458442127682959,245.67364991313173,0.0,0.0,0.0
4,person_01,184.6115,44.27005,371.223,90.5401,343.3535,183.4155,96.82299999999998,125.229,391.765,124.732,0.2629067801622658,0.96482123989095,44.59375293693053,-0.3834979491521957,0.9235417278044669,25.42386477308278,294.942,120.801,-0.27308912959080817,0.9619887355366147,61.03501821905191,0.8603793875199434,0.5096541077346548,36.41881762221284,368.291,246.03,0.032897245533661156,0.9994587391364879,89.06520751112639,-0.7422540033809555,-0.6701186420813441,501.4738867079721,310.592,245.042,-0.02232215203779651,0.9997508297212868,88.07394540952505,-0.679738569175527,-0.7334544822790351,455.5074760220736
5,person_00,102.69935000000001,124.6945,34.18130000000001,7.808999999999983,97.8309,191.264,69.4462,78.26000000000002,132.554,152.134,0.6717680949233356,0.7407615180630487,42.22141571525049,-0.9761184927126195,0.21723878149272494,36.057097844945865,63.1078,157.986,-0.5807140813474282,0.8141075824022355,42.098858604004924,-0.8747762631517735,0.4845270781145459,20.133033716010125,120.808,229.399,-0.46738431591316704,-0.8840542411178065,260.6163618520526,0.0,0.0,0.0,78.7394,230.394,-0.9449301147764155,0.3272721775351982,53.80842371822464,-0.11526566438455084,-0.9933347001962571,250.6748228475289
5,person_01,185.101,44.27905,372.202,90.5581,343.3605,184.39,94.87699999999995,127.196,390.799,124.726,0.288783842087585,0.9573943244813669,43.94636454816259,-0.3704919220048049,0.9288356882297243,26.286672992221753,295.922,120.792,-0.2922387281018724,0.9563454008868344,60.39240628588995,0.8490833018328432,0.5282589767799852,36.96103778304931,368.299,247.988,0.032379020930678556,0.9994756620366354,91.01572299883138,-0.7384072430104428,-0.6743550574213238,504.1201904823888,310.583,246.029,-0.02286490303835949,0.9997385639301138,86.11451343995388,-0.6807903218400229,-0.7324783530514456,454.78613615302737
6,person_00,103.1935,124.23150000000001,33.245000000000005,6.909000000000006,98.30505000000001,191.7375,70.4299,79.22299999999998,133.52,152.126,0.6589150102511511,0.7522173949502402,41.56378223886752,-0.9759358086800237,0.21805801369376016,36.05462540368435,63.0901,157.996,-0.5689476869084715,0.8223737164826583,46.39618124371876,-0.9245922575563122,0.38095820934443997,17.954725301156795,120.827,230.354,-0.46593131931589016,-0.884820889039445,261.4698668011288,0.0,0.0,0.0,77.7766,231.349,-0.3210912932817265,-0.9470482465950023,245.34019342243943,0.0,0.0,0.0
6,person_01,185.5915,44.73035,373.183,91.4607,343.86,182.9175,95.85199999999998,124.26899999999999,391.786,124.73,0.25406108745866013,0.9671881739554734,42.48190900842382,-0.30811151120947783,0.9513502492038417,25.688751351515705,295.934,120.783,-0.29682538279844906,0.9549317735453953,59.48278355961497,0.8447071977323208,0.5352286895329975,38.254675805710306,368.304,245.052,0.0312125907013675,0.9995127683935353,92.97530050502664,-0.7393337996108766,-0.6733390919536337,503.4343082865927,310.593,243.085,-0.02177376765967026,0.9997629234182985,89.05211217034662,-0.6808429889260302,-0.7324293989390851,454.80970654989324
7,person_00,103.2123,124.22550000000001,33.24539999999999,6.903000000000006,98.30655,191.7375,70.42690000000002,79.221,133.52,152.127,0.6589422360746452,0.7521935452507863,41.565100096114264,-0.975942401405014,0.21802850533775336,36.059505099210654,63.0931,157.994,-0.5688929190140726,0.8224116041834818,46.37094103002439,-0.9159028286269416,0.4014000604299498,17.11011202301142,120.826,230.354,-0.46592832505078446,-0.8848224657609969,261.46940087130656,0.0,0.0,0.0,77.7686,231.348,-0.3210632862645356,-0.9470577417523268,245.33667775112633,0.0,0.0,0.0
